"","Collection_Location","Longitude","Latitude","Elevation_m","River_Distance_m","River_Slope","Work"
"1","Copper Lake",-143.473,62.424,901,253867.870353995,1.7745451575728,228734.951188949
"2","Tanada Lake shore",-143.37,62.41,879,254313.581928897,1.72818139191197,223541.6385155
"3","Tanada Lake lower outlet",-143.38042,62.4705,888,260385.747989764,1.70516245004874,231222.544214911
"4","Tanada Creek weir",-143.718,62.5959,763,268093.443948033,1.42301129927649,204555.297732349
"5","Bad Crossing 2",-144.25937,62.99571,896,305744.986415524,1.4652734138088,273947.507828309
"6","Bone Creek",-143.89551,62.97175,813,306417.618168245,1.32662084651021,249117.523570784
"7","Mentasta Lake",-143.82404,62.91896,687,301486.320309813,1.13935517753181,207121.102052842
"8","Suslota Lake",-143.5894,62.7051,823,281602.946271555,1.46127732485861,231759.22478149
"9","Gulkana-Fish Creek",-145.48719,63.0999,992,315073.131944798,1.57423769186038,312552.54688924
"10","Gulkana Hatchery late run",-145.49697,63.00764,780,304879.936604468,1.2791920791625,237806.350551485
"11","Gulkana Hatchery early run",-145.49697,63.00764,780,304879.936604468,1.2791920791625,237806.350551485
"12","Paxson Lake outlet",-145.6137,62.8552,804,288530.780082198,1.39326556385241,231978.747186087
"13","Swede Lake",-145.89165,62.99066,866,305248.582886698,1.41851600392432,264345.272779881
"14","Keg Creek",-146.43522,62.72392,734,281930.797909129,1.30173788291937,206937.205665301
"15","Mendeltna Creek",-146.62309,62.12836,702,222379.217537876,1.57838490433674,156110.210711589
"16","Banana Lake",-146.06226,61.45687,581,142119.383687495,2.04405614816609,82571.3619224348
"17","Bear Hole",-145.96411,61.51616,550,146392.751550518,1.87850830787276,80516.0133527847
"18","Klutina Lake inlet",-145.99352,61.60085,532,155794.244071168,1.70738015121078,82882.5378458612
"19","St. Anne Creek",-145.96743,61.73789,538,169866.061311202,1.5836006199448,91387.9409854264
"20","Mahlo River",-145.74124,61.73567,528,166571.61844084,1.58490385379646,87949.8145367633
"21","Klutina Lake outlet",-145.71484,61.75119,546,167955.65253483,1.62542906939905,91703.7862840173
"22","Tonsina Lake outlet",-145.49908,61.52039,578,140591.302256255,2.05560369213482,81261.7727041153
"23","Tana River",-142.7216,60.90318,439,146182.792273925,1.5015447207267,64174.245808253
"24","Long Lake",-143.3479,61.3723,438,153826.587966263,1.4236810612222,67376.0455292234
