Site#,Site_Description,Short_Name,Latitude,Longitude
1,Baird Canyon,Baird,60.816209,-144.51321
2,New_Haley Creek (NVE),Haley_Creek,61.416682,-144.477977
3,Chitina (couple miles up),Chitina,61.516139,-144.319647
4,Lower Copper (1 mile below Tonsina confluence),Chitina_Airport,61.587604,-144.432309
5,Tonsina River (at Old Edgerton Bridge),Tonsina,61.652362,-144.653156
6,Klutina River (between bridges),Klutina ,61.953599,-145.315082
7,Tazlina River (1 mile below bridge),Tazlina,62.047768,-145.418541
8,Gulkana River (1/2 mile below bridge),Gulkana,62.264785,-145.386178
9,Gulkana Tower (2 miles above WF confluence),Gulkana_Tower,62.59732,-145.615299
10,Upper Copper (1.5 miles below the Gakona confluence),Gakona,62.290168,-145.337045
